AGE,GENDER,DRIVING_EXPERIENCE,EDUCATION,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,INCOME,ANNUAL_KM,ID,OUTCOME
65+,male,30+,university,1.0,before 2015,1.0,1.0,sedan,10.0,2.0,1.0,above average,,517747.0,0.0
16-25,male,0-9,none,0.0,before 2015,1.0,0.0,sedan,0.0,0.0,0.0,minmal,19320.0,24851.0,1.0
26-39,female,0-9,university,1.0,before 2015,0.0,1.0,sedan,0.0,0.0,0.0,above average,,104086.0,1.0
16-25,female,0-9,high school,1.0,before 2015,0.0,1.0,sedan,0.0,0.0,0.0,below average,28980.0,240658.0,1.0
16-25,female,0-9,high school,0.0,before 2015,0.0,0.0,sedan,0.0,0.0,0.0,below average,27370.0,484399.0,1.0
16-25,male,0-9,high school,1.0,after 2015,1.0,1.0,sedan,0.0,0.0,0.0,average,12880.0,912828.0,1.0
40-64,male,20-29,none,1.0,before 2015,1.0,1.0,sedan,3.0,1.0,1.0,minmal,20930.0,892754.0,0.0
16-25,male,0-9,none,0.0,before 2015,0.0,0.0,sedan,0.0,0.0,0.0,minmal,27370.0,217.0,0.0
65+,male,30+,high school,1.0,before 2015,1.0,1.0,sedan,13.0,2.0,3.0,above average,11270.0,633896.0,0.0
26-39,female,10-19,university,1.0,before 2015,1.0,0.0,sports car,0.0,0.0,0.0,average,22540.0,193110.0,0.0
40-64,male,10-19,high school,1.0,before 2015,0.0,0.0,sedan,1.0,1.0,0.0,average,20930.0,98515.0,0.0
26-39,male,10-19,none,1.0,before 2015,1.0,0.0,sedan,0.0,0.0,1.0,minmal,24150.0,165623.0,0.0
26-39,male,10-19,university,0.0,after 2015,0.0,0.0,sedan,0.0,0.0,1.0,average,27370.0,493590.0,0.0
65+,male,0-9,university,1.0,after 2015,1.0,1.0,sedan,0.0,0.0,0.0,above average,14490.0,389792.0,1.0
40-64,male,20-29,high school,1.0,after 2015,1.0,1.0,sedan,2.0,0.0,1.0,average,11270.0,642614.0,0.0
65+,female,30+,university,1.0,before 2015,1.0,1.0,sedan,3.0,1.0,1.0,above average,16101.0,951465.0,0.0
16-25,male,0-9,none,1.0,before 2015,1.0,1.0,sedan,0.0,0.0,0.0,minmal,14490.0,496987.0,0.0
16-25,male,0-9,none,1.0,before 2015,0.0,1.0,sedan,0.0,0.0,0.0,minmal,16101.0,732437.0,1.0
26-39,female,0-9,high school,1.0,before 2015,1.0,1.0,sedan,0.0,0.0,0.0,average,17710.0,146897.0,1.0
16-25,male,0-9,university,0.0,after 2015,0.0,0.0,sedan,0.0,0.0,0.0,below average,12880.0,316173.0,1.0
26-39,male,10-19,high school,1.0,before 2015,0.0,1.0,sedan,3.0,0.0,2.0,below average,27370.0,9013.0,0.0
40-64,female,10-19,none,1.0,before 2015,1.0,1.0,sedan,2.0,0.0,1.0,average,17710.0,511757.0,0.0
65+,male,30+,university,0.0,after 2015,0.0,1.0,sports car,6.0,0.0,5.0,above average,19320.0,429947.0,0.0
40-64,male,10-19,university,1.0,before 2015,0.0,1.0,sedan,1.0,0.0,1.0,above average,22540.0,485660.0,0.0
65+,male,30+,high school,1.0,before 2015,1.0,1.0,sedan,5.0,1.0,3.0,above average,16101.0,80496.0,0.0
40-64,male,20-29,university,1.0,after 2015,0.0,1.0,sedan,4.0,0.0,2.0,above average,25760.0,478336.0,0.0
40-64,male,20-29,university,0.0,after 2015,1.0,1.0,sedan,10.0,2.0,0.0,above average,14490.0,10843.0,0.0
16-25,male,0-9,none,0.0,before 2015,0.0,0.0,sedan,0.0,0.0,0.0,minmal,25760.0,397446.0,1.0
26-39,female,10-19,high school,0.0,before 2015,0.0,1.0,sedan,1.0,0.0,0.0,minmal,20930.0,101678.0,1.0
40-64,male,20-29,high school,0.0,before 2015,0.0,0.0,sports car,3.0,0.0,4.0,average,22540.0,231661.0,0.0
65+,male,20-29,high school,1.0,after 2015,1.0,1.0,sedan,7.0,0.0,5.0,above average,11270.0,173782.0,0.0
40-64,female,20-29,university,1.0,after 2015,1.0,1.0,sedan,3.0,0.0,2.0,above average,17710.0,921097.0,0.0
26-39,female,10-19,university,1.0,before 2015,0.0,1.0,sedan,1.0,0.0,0.0,below average,19320.0,98839.0,0.0
26-39,female,10-19,none,0.0,before 2015,0.0,1.0,sedan,1.0,0.0,0.0,below average,22540.0,105372.0,0.0
40-64,male,20-29,university,1.0,before 2015,1.0,0.0,sedan,3.0,0.0,2.0,above average,22540.0,888828.0,0.0
26-39,female,0-9,high school,0.0,before 2015,0.0,0.0,sedan,0.0,0.0,0.0,below average,27370.0,37454.0,1.0
65+,male,20-29,university,0.0,after 2015,1.0,1.0,sedan,9.0,0.0,1.0,above average,11270.0,370044.0,0.0
16-25,female,0-9,university,0.0,before 2015,1.0,1.0,sedan,0.0,0.0,0.0,below average,12880.0,768282.0,1.0
16-25,female,0-9,none,1.0,before 2015,1.0,1.0,sedan,0.0,0.0,0.0,below average,11270.0,738729.0,1.0
26-39,female,10-19,high school,1.0,after 2015,1.0,0.0,sedan,0.0,0.0,0.0,average,24150.0,437535.0,0.0
16-25,female,0-9,high school,0.0,before 2015,0.0,0.0,sedan,0.0,0.0,0.0,minmal,14490.0,329536.0,1.0
40-64,female,20-29,university,0.0,after 2015,0.0,1.0,sedan,2.0,0.0,1.0,average,19320.0,328531.0,0.0
40-64,female,20-29,university,1.0,after 2015,1.0,1.0,sedan,0.0,0.0,0.0,average,,123941.0,0.0
26-39,male,10-19,university,1.0,before 2015,0.0,0.0,sedan,0.0,1.0,0.0,below average,25760.0,131881.0,0.0
40-64,male,20-29,high school,0.0,before 2015,1.0,1.0,sedan,3.0,0.0,1.0,below average,19320.0,839572.0,0.0
26-39,male,10-19,university,1.0,before 2015,1.0,1.0,sedan,2.0,0.0,1.0,above average,12880.0,171578.0,0.0
40-64,female,20-29,high school,1.0,before 2015,1.0,1.0,sedan,2.0,0.0,0.0,above average,11270.0,589757.0,0.0
16-25,female,0-9,university,1.0,before 2015,0.0,1.0,sedan,0.0,0.0,0.0,average,24150.0,336859.0,1.0
40-64,female,20-29,high school,1.0,before 2015,1.0,1.0,sedan,1.0,0.0,1.0,minmal,,788111.0,0.0
40-64,female,0-9,university,1.0,before 2015,0.0,0.0,sedan,0.0,0.0,0.0,above average,,407453.0,0.0
40-64,female,10-19,high school,1.0,before 2015,1.0,1.0,sedan,0.0,0.0,0.0,below average,17710.0,367026.0,0.0
40-64,female,0-9,university,1.0,before 2015,0.0,0.0,sedan,0.0,0.0,0.0,average,24150.0,334687.0,1.0
65+,male,20-29,university,1.0,before 2015,1.0,1.0,sedan,4.0,1.0,4.0,above average,8051.0,623367.0,0.0
65+,male,10-19,university,1.0,before 2015,1.0,1.0,sedan,2.0,0.0,0.0,above average,16101.0,688440.0,0.0
65+,male,20-29,high school,0.0,before 2015,1.0,1.0,sedan,2.0,1.0,7.0,above average,19320.0,547974.0,1.0
26-39,male,0-9,none,0.0,after 2015,1.0,1.0,sedan,0.0,0.0,0.0,minmal,19320.0,989064.0,1.0
40-64,male,20-29,high school,1.0,before 2015,0.0,0.0,sedan,5.0,0.0,7.0,below average,19320.0,422816.0,0.0
26-39,female,10-19,none,1.0,before 2015,0.0,1.0,sedan,2.0,0.0,0.0,below average,14490.0,307408.0,0.0
16-25,male,0-9,high school,1.0,before 2015,0.0,1.0,sedan,0.0,0.0,0.0,average,25760.0,675898.0,0.0
26-39,female,0-9,university,1.0,before 2015,1.0,1.0,sedan,0.0,0.0,0.0,above average,19320.0,480452.0,0.0
40-64,female,0-9,university,1.0,after 2015,1.0,1.0,sedan,0.0,0.0,0.0,average,22540.0,93199.0,0.0
40-64,female,20-29,university,1.0,before 2015,1.0,1.0,sedan,0.0,0.0,1.0,above average,16101.0,125802.0,0.0
40-64,male,0-9,university,1.0,after 2015,0.0,0.0,sedan,0.0,0.0,0.0,above average,25760.0,616663.0,0.0
16-25,female,0-9,high school,1.0,before 2015,0.0,0.0,sedan,0.0,0.0,0.0,below average,25760.0,423497.0,1.0
40-64,female,10-19,university,1.0,after 2015,1.0,1.0,sedan,0.0,0.0,0.0,above average,22540.0,492837.0,0.0
40-64,male,20-29,university,0.0,before 2015,0.0,1.0,sedan,2.0,0.0,1.0,above average,22540.0,422563.0,0.0
16-25,female,0-9,high school,1.0,before 2015,0.0,1.0,sedan,0.0,0.0,0.0,average,17710.0,185231.0,0.0
26-39,female,10-19,university,0.0,after 2015,0.0,0.0,sedan,0.0,0.0,0.0,above average,14490.0,949152.0,0.0
26-39,male,10-19,university,1.0,before 2015,1.0,1.0,sedan,1.0,0.0,2.0,average,20930.0,859453.0,0.0
26-39,female,10-19,high school,1.0,after 2015,0.0,1.0,sedan,0.0,0.0,0.0,average,22540.0,466578.0,0.0
16-25,female,0-9,none,0.0,before 2015,0.0,0.0,sedan,0.0,0.0,0.0,minmal,22540.0,998214.0,1.0
40-64,male,20-29,high school,0.0,before 2015,0.0,1.0,sedan,0.0,0.0,6.0,below average,25760.0,828462.0,0.0
65+,male,10-19,high school,1.0,before 2015,1.0,1.0,sedan,3.0,1.0,1.0,average,14490.0,511837.0,0.0
16-25,male,0-9,university,1.0,before 2015,1.0,1.0,sports car,0.0,0.0,0.0,above average,19320.0,554995.0,1.0
65+,male,30+,none,1.0,before 2015,1.0,1.0,sedan,6.0,1.0,3.0,average,22540.0,680717.0,0.0
40-64,male,20-29,university,1.0,after 2015,1.0,1.0,sedan,4.0,0.0,6.0,above average,11270.0,978021.0,0.0
26-39,female,0-9,high school,1.0,after 2015,1.0,1.0,sedan,0.0,0.0,0.0,below average,,509815.0,0.0
40-64,female,20-29,high school,0.0,before 2015,0.0,1.0,sedan,3.0,0.0,2.0,above average,24150.0,6676.0,0.0
40-64,male,10-19,high school,0.0,before 2015,0.0,0.0,sedan,0.0,0.0,0.0,below average,20930.0,362280.0,1.0
40-64,male,0-9,high school,1.0,before 2015,0.0,1.0,sedan,0.0,0.0,0.0,below average,20930.0,883018.0,0.0
26-39,female,10-19,university,1.0,before 2015,1.0,1.0,sedan,2.0,0.0,0.0,above average,24150.0,889355.0,0.0
65+,male,20-29,university,1.0,after 2015,1.0,1.0,sedan,8.0,0.0,2.0,above average,14490.0,198273.0,0.0
40-64,male,20-29,university,0.0,after 2015,1.0,0.0,sedan,1.0,0.0,2.0,above average,22540.0,197763.0,0.0
26-39,male,10-19,university,1.0,after 2015,1.0,1.0,sedan,3.0,1.0,0.0,above average,17710.0,55670.0,0.0
40-64,female,20-29,none,1.0,after 2015,1.0,1.0,sedan,1.0,0.0,2.0,below average,17710.0,545941.0,0.0
16-25,female,0-9,none,1.0,before 2015,0.0,1.0,sedan,0.0,0.0,0.0,average,,814196.0,1.0
16-25,female,0-9,high school,0.0,before 2015,0.0,0.0,sedan,0.0,0.0,0.0,minmal,,560160.0,0.0
26-39,male,0-9,none,0.0,before 2015,0.0,1.0,sedan,0.0,0.0,0.0,minmal,22540.0,320444.0,0.0
16-25,male,0-9,high school,0.0,before 2015,1.0,1.0,sedan,0.0,0.0,0.0,minmal,17710.0,305793.0,1.0
16-25,male,0-9,high school,0.0,before 2015,0.0,0.0,sedan,0.0,0.0,0.0,minmal,22540.0,362190.0,1.0
26-39,male,10-19,high school,1.0,before 2015,0.0,0.0,sedan,2.0,0.0,1.0,above average,20930.0,62647.0,0.0
40-64,male,10-19,university,1.0,after 2015,1.0,1.0,sedan,0.0,0.0,0.0,above average,22540.0,296948.0,0.0
65+,female,30+,high school,0.0,after 2015,1.0,1.0,sedan,4.0,1.0,3.0,above average,16101.0,673660.0,0.0
16-25,male,0-9,university,1.0,before 2015,0.0,0.0,sedan,0.0,0.0,0.0,average,20930.0,945867.0,1.0
65+,male,30+,none,1.0,before 2015,1.0,1.0,sedan,12.0,2.0,2.0,average,16101.0,391880.0,0.0
65+,female,30+,high school,1.0,before 2015,1.0,0.0,sedan,2.0,0.0,2.0,above average,17710.0,241973.0,0.0
16-25,male,0-9,high school,0.0,before 2015,0.0,1.0,sedan,0.0,0.0,0.0,minmal,24150.0,429503.0,1.0
16-25,male,0-9,university,1.0,after 2015,0.0,0.0,sports car,0.0,0.0,0.0,below average,22540.0,810013.0,1.0
16-25,female,0-9,high school,0.0,before 2015,0.0,0.0,sedan,0.0,0.0,0.0,minmal,24150.0,663458.0,1.0
16-25,male,0-9,high school,0.0,before 2015,1.0,1.0,sedan,0.0,0.0,0.0,below average,16101.0,879976.0,1.0
16-25,male,0-9,none,1.0,before 2015,1.0,0.0,sedan,0.0,0.0,0.0,minmal,14490.0,418841.0,1.0
26-39,male,10-19,none,1.0,before 2015,0.0,0.0,sedan,3.0,0.0,0.0,below average,19320.0,542236.0,0.0
40-64,male,10-19,university,1.0,before 2015,1.0,1.0,sedan,5.0,0.0,1.0,above average,11270.0,937573.0,0.0
16-25,male,0-9,university,1.0,before 2015,0.0,0.0,sedan,0.0,0.0,0.0,below average,27370.0,670850.0,1.0
16-25,male,0-9,university,1.0,before 2015,1.0,0.0,sedan,0.0,0.0,0.0,average,17710.0,151252.0,0.0
65+,male,10-19,university,1.0,before 2015,1.0,1.0,sedan,1.0,1.0,2.0,above average,16101.0,706349.0,0.0
65+,male,20-29,none,1.0,before 2015,1.0,0.0,sedan,3.0,1.0,7.0,below average,22540.0,602998.0,0.0
26-39,female,10-19,none,1.0,before 2015,0.0,1.0,sedan,1.0,2.0,0.0,average,16101.0,242772.0,0.0
26-39,female,10-19,high school,0.0,before 2015,0.0,0.0,sedan,2.0,0.0,0.0,average,19320.0,393449.0,0.0
65+,male,30+,university,1.0,after 2015,1.0,1.0,sedan,2.0,0.0,3.0,above average,11270.0,380740.0,0.0
16-25,female,0-9,none,0.0,before 2015,0.0,1.0,sedan,0.0,0.0,0.0,minmal,,938115.0,1.0
16-25,male,0-9,university,1.0,before 2015,0.0,0.0,sedan,0.0,0.0,0.0,average,17710.0,727943.0,1.0
16-25,male,0-9,high school,0.0,before 2015,0.0,0.0,sports car,0.0,0.0,0.0,minmal,16101.0,766309.0,1.0
16-25,male,0-9,university,1.0,after 2015,0.0,1.0,sedan,0.0,0.0,0.0,below average,14490.0,261229.0,1.0
65+,male,20-29,university,0.0,after 2015,0.0,1.0,sedan,3.0,0.0,2.0,above average,20930.0,60866.0,0.0
40-64,female,20-29,high school,1.0,before 2015,0.0,0.0,sedan,1.0,1.0,0.0,below average,24150.0,752797.0,0.0
65+,male,30+,high school,1.0,before 2015,1.0,1.0,sedan,4.0,1.0,2.0,above average,14490.0,45002.0,0.0
16-25,male,0-9,none,0.0,before 2015,0.0,0.0,sedan,0.0,0.0,0.0,minmal,12880.0,482448.0,1.0
16-25,male,0-9,university,1.0,before 2015,1.0,1.0,sedan,0.0,0.0,0.0,average,19320.0,549142.0,1.0
40-64,male,20-29,high school,0.0,after 2015,1.0,0.0,sedan,4.0,1.0,4.0,average,22540.0,95138.0,0.0
26-39,female,10-19,none,0.0,before 2015,1.0,1.0,sedan,0.0,0.0,1.0,below average,,851152.0,0.0
40-64,female,20-29,high school,1.0,after 2015,1.0,1.0,sedan,2.0,0.0,1.0,above average,17710.0,615991.0,0.0
26-39,female,10-19,high school,1.0,before 2015,1.0,1.0,sedan,0.0,0.0,1.0,average,,424820.0,0.0
65+,male,20-29,university,1.0,after 2015,0.0,1.0,sedan,3.0,1.0,4.0,above average,22540.0,807847.0,0.0
40-64,male,20-29,high school,1.0,after 2015,1.0,0.0,sedan,6.0,0.0,3.0,average,19320.0,758983.0,0.0
26-39,female,0-9,university,0.0,before 2015,0.0,0.0,sedan,0.0,0.0,0.0,average,25760.0,987114.0,1.0
40-64,male,20-29,high school,1.0,before 2015,1.0,1.0,sedan,7.0,1.0,1.0,average,20930.0,873457.0,0.0
65+,female,0-9,university,0.0,before 2015,1.0,1.0,sedan,0.0,0.0,0.0,above average,16101.0,699703.0,1.0
65+,female,0-9,university,1.0,before 2015,0.0,1.0,sedan,0.0,0.0,0.0,above average,20930.0,563342.0,0.0
26-39,male,10-19,university,0.0,before 2015,1.0,1.0,sedan,3.0,2.0,3.0,below average,19320.0,504412.0,1.0
65+,male,30+,university,1.0,before 2015,1.0,1.0,sedan,5.0,1.0,5.0,above average,19320.0,284106.0,0.0
16-25,female,0-9,none,1.0,before 2015,0.0,0.0,sedan,0.0,0.0,0.0,minmal,19320.0,78189.0,1.0
26-39,male,10-19,university,0.0,before 2015,0.0,0.0,sedan,0.0,1.0,0.0,average,25760.0,427520.0,0.0
40-64,female,20-29,university,1.0,after 2015,1.0,0.0,sedan,1.0,0.0,1.0,above average,20930.0,689030.0,0.0
65+,male,30+,university,1.0,before 2015,1.0,1.0,sedan,5.0,2.0,4.0,above average,20930.0,966467.0,0.0
65+,male,30+,university,1.0,after 2015,1.0,1.0,sedan,3.0,0.0,7.0,above average,19320.0,288712.0,0.0
26-39,male,0-9,high school,1.0,before 2015,1.0,1.0,sedan,0.0,0.0,0.0,below average,16101.0,228114.0,0.0
65+,male,20-29,university,1.0,before 2015,0.0,1.0,sedan,5.0,1.0,5.0,above average,20930.0,63715.0,0.0
65+,female,30+,none,1.0,before 2015,1.0,1.0,sports car,10.0,0.0,1.0,above average,12880.0,624077.0,0.0
26-39,male,10-19,none,0.0,before 2015,1.0,1.0,sedan,1.0,0.0,1.0,minmal,25760.0,726352.0,0.0
16-25,female,0-9,none,0.0,before 2015,0.0,0.0,sedan,0.0,0.0,0.0,minmal,22540.0,150072.0,1.0
65+,female,30+,university,1.0,before 2015,1.0,1.0,sedan,1.0,2.0,2.0,above average,19320.0,792396.0,0.0
40-64,male,0-9,high school,1.0,before 2015,0.0,1.0,sedan,0.0,0.0,0.0,below average,25760.0,768933.0,1.0
40-64,female,10-19,none,1.0,before 2015,0.0,1.0,sedan,2.0,0.0,0.0,average,16101.0,452356.0,0.0
65+,female,30+,high school,1.0,after 2015,1.0,0.0,sports car,3.0,0.0,1.0,above average,,849811.0,0.0
65+,female,10-19,university,1.0,after 2015,1.0,1.0,sedan,0.0,0.0,2.0,above average,16101.0,579336.0,0.0
16-25,male,0-9,university,1.0,before 2015,0.0,0.0,sedan,0.0,0.0,0.0,average,20930.0,648922.0,1.0
65+,male,10-19,university,1.0,before 2015,1.0,1.0,sedan,1.0,0.0,4.0,above average,16101.0,47909.0,0.0
65+,female,30+,university,1.0,after 2015,0.0,1.0,sedan,2.0,0.0,0.0,above average,17710.0,619577.0,0.0
65+,female,20-29,university,1.0,after 2015,0.0,1.0,sedan,1.0,0.0,1.0,above average,20930.0,212678.0,0.0
26-39,male,10-19,university,0.0,before 2015,0.0,1.0,sports car,0.0,0.0,1.0,below average,,579720.0,1.0
40-64,female,20-29,university,1.0,after 2015,1.0,0.0,sedan,2.0,1.0,1.0,above average,17710.0,995884.0,0.0
40-64,female,10-19,university,1.0,after 2015,0.0,0.0,sedan,0.0,0.0,1.0,below average,20930.0,226326.0,0.0
26-39,male,10-19,university,0.0,after 2015,1.0,1.0,sedan,8.0,0.0,0.0,above average,9660.0,943922.0,0.0
40-64,male,0-9,high school,1.0,after 2015,0.0,1.0,sedan,0.0,0.0,0.0,average,19320.0,510116.0,0.0
16-25,female,0-9,university,1.0,before 2015,1.0,1.0,sedan,0.0,0.0,0.0,average,19320.0,536546.0,0.0
40-64,female,10-19,high school,1.0,before 2015,0.0,1.0,sedan,0.0,0.0,1.0,below average,17710.0,75592.0,0.0
26-39,male,10-19,none,1.0,before 2015,0.0,0.0,sedan,1.0,0.0,2.0,below average,,487116.0,1.0
26-39,female,10-19,high school,1.0,before 2015,0.0,1.0,sedan,1.0,0.0,0.0,below average,19320.0,936820.0,1.0
65+,male,10-19,university,1.0,after 2015,1.0,1.0,sedan,1.0,0.0,2.0,above average,14490.0,634050.0,0.0
40-64,male,20-29,university,1.0,after 2015,0.0,1.0,sedan,2.0,0.0,2.0,above average,,307397.0,0.0
65+,female,30+,university,1.0,after 2015,1.0,1.0,sedan,1.0,0.0,0.0,above average,17710.0,558748.0,0.0
16-25,female,0-9,high school,0.0,after 2015,0.0,0.0,sedan,0.0,0.0,0.0,average,22540.0,856630.0,1.0
65+,male,30+,university,1.0,after 2015,1.0,1.0,sedan,5.0,1.0,3.0,above average,17710.0,200009.0,0.0
65+,male,30+,university,1.0,before 2015,1.0,1.0,sedan,13.0,1.0,6.0,above average,16101.0,784462.0,0.0
40-64,female,20-29,university,1.0,after 2015,0.0,1.0,sedan,2.0,0.0,1.0,above average,19320.0,792252.0,0.0
26-39,male,10-19,none,1.0,before 2015,0.0,1.0,sedan,3.0,0.0,1.0,below average,20930.0,462586.0,0.0
65+,male,30+,high school,1.0,before 2015,0.0,1.0,sedan,4.0,0.0,6.0,average,17710.0,577965.0,0.0
40-64,male,20-29,university,1.0,before 2015,0.0,0.0,sedan,1.0,0.0,2.0,above average,,818248.0,0.0
16-25,male,0-9,none,0.0,before 2015,0.0,0.0,sedan,0.0,0.0,0.0,minmal,14490.0,491438.0,1.0
65+,female,30+,high school,1.0,after 2015,0.0,1.0,sedan,0.0,0.0,0.0,above average,22540.0,896587.0,0.0
16-25,male,0-9,high school,0.0,before 2015,1.0,0.0,sports car,0.0,0.0,0.0,minmal,19320.0,431538.0,1.0
16-25,male,0-9,high school,0.0,before 2015,0.0,0.0,sedan,0.0,0.0,0.0,minmal,20930.0,164516.0,1.0
40-64,female,20-29,university,1.0,after 2015,1.0,1.0,sedan,4.0,0.0,0.0,above average,11270.0,479577.0,0.0
40-64,male,0-9,high school,1.0,before 2015,1.0,0.0,sedan,0.0,0.0,0.0,above average,,395233.0,1.0
40-64,male,10-19,university,1.0,after 2015,1.0,0.0,sedan,3.0,0.0,2.0,above average,17710.0,221838.0,0.0
26-39,male,10-19,high school,1.0,before 2015,1.0,1.0,sedan,1.0,0.0,1.0,average,12880.0,938476.0,0.0
26-39,male,0-9,none,0.0,before 2015,1.0,1.0,sedan,0.0,0.0,0.0,minmal,11270.0,112454.0,1.0
26-39,male,10-19,high school,1.0,after 2015,1.0,1.0,sedan,3.0,0.0,1.0,below average,12880.0,91246.0,0.0
26-39,female,10-19,none,0.0,before 2015,1.0,0.0,sedan,0.0,0.0,0.0,below average,19320.0,2743.0,1.0
40-64,male,0-9,high school,1.0,before 2015,0.0,1.0,sedan,0.0,0.0,0.0,average,19320.0,248888.0,1.0
16-25,male,0-9,high school,0.0,before 2015,0.0,0.0,sedan,0.0,0.0,0.0,minmal,19320.0,195523.0,1.0
40-64,female,20-29,university,1.0,after 2015,0.0,1.0,sedan,2.0,1.0,0.0,above average,20930.0,981926.0,0.0
40-64,male,20-29,university,1.0,before 2015,0.0,1.0,sedan,2.0,2.0,1.0,average,24150.0,593426.0,0.0
65+,female,30+,university,1.0,after 2015,1.0,1.0,sedan,5.0,0.0,2.0,above average,19320.0,235574.0,0.0
16-25,male,0-9,university,1.0,before 2015,0.0,0.0,sedan,0.0,0.0,0.0,below average,19320.0,440993.0,1.0
16-25,male,0-9,high school,1.0,before 2015,0.0,0.0,sedan,0.0,0.0,0.0,minmal,22540.0,446993.0,0.0
26-39,male,10-19,university,1.0,before 2015,0.0,0.0,sedan,2.0,0.0,5.0,above average,,82684.0,1.0
26-39,female,10-19,university,1.0,before 2015,0.0,1.0,sedan,1.0,0.0,1.0,average,20930.0,301242.0,0.0
26-39,male,10-19,university,1.0,before 2015,1.0,1.0,sedan,0.0,1.0,4.0,above average,,784122.0,0.0
65+,male,30+,university,0.0,before 2015,1.0,1.0,sedan,4.0,0.0,8.0,above average,,884967.0,0.0
26-39,female,0-9,high school,0.0,before 2015,0.0,1.0,sedan,0.0,0.0,0.0,minmal,24150.0,7722.0,1.0
26-39,female,10-19,none,0.0,before 2015,0.0,1.0,sports car,1.0,2.0,0.0,minmal,,278557.0,0.0
26-39,male,10-19,university,1.0,after 2015,1.0,1.0,sedan,2.0,0.0,0.0,above average,16101.0,123443.0,0.0
16-25,female,0-9,none,0.0,before 2015,0.0,1.0,sedan,0.0,0.0,0.0,below average,17710.0,112143.0,1.0
26-39,male,10-19,university,0.0,before 2015,1.0,1.0,sports car,6.0,1.0,3.0,below average,17710.0,912138.0,1.0
65+,female,0-9,university,0.0,after 2015,1.0,1.0,sedan,0.0,0.0,0.0,above average,17710.0,601305.0,1.0
16-25,female,0-9,high school,1.0,after 2015,0.0,0.0,sedan,0.0,0.0,0.0,average,16101.0,602274.0,0.0
26-39,male,10-19,none,1.0,before 2015,0.0,1.0,sedan,0.0,0.0,1.0,average,20930.0,352099.0,0.0
16-25,male,0-9,high school,1.0,before 2015,0.0,1.0,sedan,0.0,0.0,0.0,minmal,24150.0,660400.0,1.0
16-25,female,0-9,university,1.0,before 2015,0.0,1.0,sports car,0.0,0.0,0.0,above average,17710.0,267614.0,0.0
40-64,female,20-29,high school,1.0,before 2015,0.0,1.0,sedan,3.0,0.0,0.0,above average,19320.0,974380.0,0.0
26-39,female,10-19,high school,1.0,before 2015,1.0,0.0,sedan,0.0,1.0,0.0,above average,27370.0,346585.0,0.0
26-39,male,10-19,high school,1.0,before 2015,1.0,1.0,sedan,2.0,0.0,0.0,average,17710.0,536135.0,0.0
40-64,female,20-29,high school,0.0,after 2015,1.0,0.0,sedan,2.0,0.0,0.0,above average,17710.0,75569.0,0.0
16-25,male,0-9,none,0.0,before 2015,1.0,0.0,sedan,0.0,0.0,0.0,minmal,,415320.0,1.0
