Area,Consumer_profile,Product_category,Product_type,AC_1001_Issue,AC_1002_Issue,AC_1003_Issue,TV_2001_Issue,TV_2002_Issue,TV_2003_Issue,Claim_Value,Service_Centre,Product_Age,Purchased_from,Call_details,Purpose,Fraud,ID
Rural,Personal,Entertainment,TV,0.0,0.0,0.0,2.0,2.0,1.0,6022.0,11.0,112.0,Manufacturer,14.0,Claim,0,1142.0
Urban,Business,Household,AC,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,10.0,3.0,Manufacturer,1.6,Claim,0,3407.0
Urban,Business,Household,AC,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,13.0,9.0,Internet,2.6,Complaint,0,89451.0
Rural,Personal,Household,AC,0.0,1.0,0.0,0.0,0.0,0.0,5821.0,13.0,951.0,Manufacturer,30.0,Complaint,0,204.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,1.0,0.0,2.0,25000.0,15.0,10.0,Dealer,1.5,Complaint,0,3073.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,0.0,6586.0,13.0,35.0,Dealer,30.0,Claim,0,4797.0
Rural,Personal,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,0.0,,13.0,522.0,Internet,30.0,Claim,0,82391.0
Rural,Business,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,1.0,10000.0,12.0,18.0,Dealer,1.4,Claim,0,6870.0
Rural,Business,Entertainment,TV,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,10.0,5.0,Manufacturer,1.3,Complaint,0,8595.0
Urban,Personal,Household,AC,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,15.0,4.0,Manufacturer,1.3,Claim,0,8539.0
Urban,Personal,Household,AC,0.0,1.0,0.0,0.0,0.0,0.0,20000.0,15.0,15.0,Manufacturer,2.5,Claim,0,319.0
Urban,Business,Household,AC,2.0,2.0,2.0,0.0,0.0,0.0,15000.0,12.0,197.0,Internet,4.0,Claim,0,4841.0
Rural,Business,Household,AC,0.0,2.0,0.0,0.0,0.0,0.0,20000.0,13.0,3.0,Manufacturer,6.5,Claim,0,5517.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,15.0,7.0,Dealer,2.5,Claim,0,11001.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,1.0,10000.0,13.0,5.0,Dealer,2.6,Claim,0,7350.0
Rural,Personal,Entertainment,TV,0.0,0.0,0.0,0.0,1.0,0.0,,13.0,176.0,Internet,30.0,Complaint,0,1423.0
Rural,Personal,Entertainment,TV,0.0,0.0,0.0,0.0,1.0,1.0,5033.0,11.0,284.0,Dealer,30.0,Claim,0,1691.0
Rural,Business,Household,AC,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,12.0,16.0,Dealer,1.6,Complaint,0,1533.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,0.0,6586.0,13.0,35.0,Dealer,30.0,Claim,0,676.0
Urban,Personal,Household,AC,1.0,2.0,0.0,0.0,0.0,0.0,7000.0,15.0,68.0,Manufacturer,9.0,Complaint,0,245.0
Urban,Personal,Household,AC,1.0,1.0,0.0,0.0,0.0,0.0,4000.0,10.0,335.0,Dealer,14.0,Claim,0,307.0
Urban,Personal,Household,AC,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,13.0,7.0,Manufacturer,1.6,Claim,1,8825.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,0.0,1.0,2.0,50000.0,13.0,18.0,Manufacturer,0.5,Claim,0,4626.0
Urban,Personal,Household,AC,0.0,1.0,1.0,0.0,0.0,0.0,12000.0,15.0,10.0,Internet,1.4,Complaint,0,31091.0
Urban,Business,Household,AC,0.0,1.0,0.0,0.0,0.0,0.0,12000.0,12.0,60.0,Internet,2.6,Complaint,0,7288.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,0.0,2.0,0.0,20000.0,14.0,21.0,Dealer,1.4,Claim,0,1115.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,12.0,5.0,Internet,1.0,Complaint,0,7802.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,13.0,16.0,Manufacturer,2.5,Other,1,3033.0
Urban,Personal,Household,AC,2.0,2.0,2.0,0.0,0.0,0.0,15000.0,15.0,303.0,Internet,7.0,Complaint,0,4976.0
Urban,Personal,Household,AC,0.0,1.0,1.0,0.0,0.0,0.0,10000.0,14.0,15.0,Dealer,2.6,Claim,0,1219.0
Urban,Personal,Household,AC,2.0,0.0,0.0,0.0,0.0,0.0,5000.0,10.0,55.0,Dealer,21.0,Claim,0,8060.0
Urban,Personal,Household,AC,2.0,2.0,1.0,0.0,0.0,0.0,12000.0,15.0,233.0,Manufacturer,21.0,Claim,0,8982.0
Rural,Personal,Household,AC,0.0,1.0,2.0,0.0,0.0,0.0,4474.0,12.0,202.0,Manufacturer,30.0,Claim,0,61751.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,12.0,5.0,Internet,1.0,Complaint,0,6377.0
Rural,Business,Household,AC,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,12.0,10.0,Dealer,1.0,Claim,0,2930.0
Rural,Business,Entertainment,TV,0.0,0.0,0.0,1.0,0.0,2.0,15000.0,12.0,15.0,Dealer,1.3,Complaint,0,6218.0
Rural,Personal,Household,AC,1.0,1.0,2.0,0.0,0.0,0.0,10000.0,15.0,12.0,Dealer,6.5,Claim,0,1694.0
Urban,Personal,Household,AC,0.0,1.0,0.0,0.0,0.0,0.0,4388.0,13.0,309.0,Manufacturer,30.0,Complaint,0,170.0
Urban,Personal,Household,AC,1.0,1.0,0.0,0.0,0.0,0.0,4000.0,12.0,347.0,Internet,6.0,Claim,0,1316.0
Rural,Business,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,1.0,21000.0,13.0,4.0,Internet,2.5,Complaint,0,9146.0
Rural,Personal,Entertainment,TV,0.0,0.0,0.0,0.0,0.0,1.0,20000.0,15.0,60.0,Dealer,1.0,Claim,0,5941.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,0.0,4805.0,12.0,948.0,Dealer,3.0,Claim,0,2937.0
Urban,Personal,Household,AC,0.0,2.0,0.0,0.0,0.0,0.0,4832.0,14.0,481.0,Internet,30.0,Complaint,0,45661.0
Urban,Personal,Household,AC,0.0,0.0,1.0,0.0,0.0,0.0,12000.0,14.0,12.0,Internet,2.5,Claim,0,5255.0
Urban,Business,Household,AC,0.0,0.0,1.0,0.0,0.0,0.0,50000.0,12.0,6.0,Dealer,2.4,Claim,0,4338.0
Urban,Personal,Household,AC,1.0,1.0,0.0,0.0,0.0,0.0,4000.0,10.0,335.0,Dealer,14.0,Claim,0,5206.0
Rural,Personal,Entertainment,TV,0.0,0.0,0.0,2.0,1.0,1.0,4504.0,12.0,123.0,Dealer,30.0,Claim,0,9263.0
Urban,Business,Household,AC,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,12.0,19.0,Internet,1.4,Complaint,0,38110.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,15.0,7.0,Dealer,2.5,Claim,0,8740.0
Rural,Business,Entertainment,TV,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,10.0,5.0,Manufacturer,1.3,Complaint,0,1192.0
Rural,Personal,Household,AC,0.0,1.0,0.0,0.0,0.0,0.0,7153.0,14.0,444.0,Dealer,30.0,Other,0,5706.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,13.0,18.0,Dealer,1.5,Complaint,0,9790.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,0.0,1.0,0.0,8386.0,12.0,197.0,Dealer,30.0,Claim,0,8312.0
Urban,Personal,Household,AC,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,15.0,15.0,Manufacturer,0.5,Claim,0,6910.0
Rural,Business,Household,AC,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,12.0,6.0,Internet,6.5,Complaint,0,9767.0
Rural,Business,Household,AC,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,13.0,15.0,Internet,1.0,Claim,0,551.0
Rural,Personal,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,1.0,7725.0,11.0,960.0,Manufacturer,30.0,Other,0,139.0
Urban,Business,Household,AC,1.0,2.0,0.0,0.0,0.0,0.0,7000.0,12.0,193.0,Dealer,7.0,Claim,0,1125.0
Rural,Business,Household,AC,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,13.0,15.0,Internet,1.0,Claim,0,9418.0
Rural,Business,Entertainment,TV,0.0,0.0,0.0,1.0,0.0,2.0,15000.0,12.0,15.0,Dealer,1.3,Complaint,0,9590.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,0.0,12000.0,16.0,20.0,Manufacturer,2.0,Complaint,0,34661.0
Urban,Personal,Household,AC,0.0,0.0,1.0,0.0,0.0,0.0,12000.0,14.0,12.0,Internet,2.5,Claim,0,6824.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,0.0,1.0,0.0,50000.0,10.0,14.0,Manufacturer,1.5,Claim,0,6660.0
Rural,Personal,Household,AC,2.0,0.0,1.0,0.0,0.0,0.0,5652.0,10.0,758.0,Dealer,30.0,Claim,0,4355.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,1.0,10000.0,14.0,9.0,Dealer,2.5,Complaint,0,1755.0
Rural,Personal,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,0.0,5764.0,14.0,377.0,Dealer,20.0,Other,0,6873.0
Urban,Business,Household,AC,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,12.0,4.0,Dealer,2.6,Claim,0,7018.0
Rural,Personal,Household,AC,1.0,1.0,1.0,0.0,0.0,0.0,12000.0,15.0,14.0,Internet,2.5,Claim,0,75010.0
Urban,Business,Household,AC,2.0,2.0,0.0,0.0,0.0,0.0,10000.0,15.0,35.0,Internet,11.0,Claim,0,5750.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,2.0,0.0,0.0,5000.0,14.0,197.0,Internet,13.0,Complaint,0,2769.0
Urban,Personal,Household,AC,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,13.0,7.0,Manufacturer,1.6,Claim,1,53491.0
Rural,Personal,Household,AC,2.0,1.0,2.0,0.0,0.0,0.0,10000.0,15.0,12.0,Dealer,6.5,Claim,0,75211.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,10.0,6.0,Manufacturer,1.5,Claim,0,6815.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,0.0,12000.0,16.0,20.0,Manufacturer,2.0,Complaint,0,62.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,2.0,1.0,0.0,7000.0,12.0,280.0,Internet,19.0,Claim,0,5678.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,1.0,25000.0,12.0,3.0,Dealer,1.5,Complaint,0,1338.0
Urban,Personal,Household,AC,2.0,0.0,0.0,0.0,0.0,0.0,5000.0,10.0,171.0,Manufacturer,4.0,Claim,0,1400.0
Urban,Personal,Household,AC,2.0,2.0,1.0,0.0,0.0,0.0,12000.0,15.0,244.0,Manufacturer,4.0,Complaint,0,9485.0
Rural,Business,Entertainment,TV,0.0,0.0,0.0,1.0,0.0,2.0,15000.0,12.0,15.0,Dealer,1.3,Complaint,0,7341.0
Urban,Business,Household,AC,0.0,2.0,1.0,0.0,0.0,0.0,2742.0,10.0,214.0,Manufacturer,30.0,Complaint,0,5143.0
Urban,Personal,Household,AC,1.0,0.0,0.0,0.0,0.0,0.0,12000.0,14.0,16.0,Internet,6.5,Complaint,0,2889.0
Urban,Personal,Household,AC,0.0,1.0,1.0,0.0,0.0,0.0,2515.0,10.0,748.0,Manufacturer,30.0,Other,0,5783.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,125.0,Internet,1.0,Complaint,0,1661.0
Urban,Personal,Household,AC,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,15.0,5.0,Manufacturer,1.5,Other,0,7145.0
Urban,Personal,Household,AC,2.0,0.0,0.0,0.0,0.0,0.0,12000.0,14.0,16.0,Internet,6.5,Complaint,0,701.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,12.0,5.0,Internet,1.0,Complaint,0,9591.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,2.0,1.0,0.0,7000.0,15.0,287.0,Dealer,1.0,Claim,0,8536.0
Urban,Business,Household,AC,0.0,2.0,1.0,0.0,0.0,0.0,2742.0,10.0,214.0,Manufacturer,30.0,Complaint,0,7723.0
Rural,Business,Entertainment,TV,0.0,0.0,0.0,1.0,0.0,2.0,15000.0,12.0,15.0,Dealer,1.3,Complaint,0,8192.0
Rural,Personal,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,0.0,5764.0,14.0,377.0,Dealer,20.0,Other,0,1506.0
Urban,Personal,Household,AC,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,15.0,15.0,Manufacturer,0.5,Claim,0,7701.0
Urban,Personal,Household,AC,2.0,0.0,0.0,0.0,0.0,0.0,5000.0,10.0,257.0,Internet,25.0,Claim,0,3464.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,14.0,3.0,Internet,1.4,Complaint,0,1356.0
Rural,Personal,Entertainment,TV,0.0,0.0,0.0,2.0,1.0,1.0,4504.0,12.0,123.0,Dealer,30.0,Claim,0,6590.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,0.0,12000.0,16.0,20.0,Manufacturer,2.0,Complaint,0,3466.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,13.0,21.0,Dealer,6.5,Other,0,9371.0
Urban,Personal,Household,AC,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,15.0,5.0,Manufacturer,1.5,Other,0,24001.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,10.0,18.0,Dealer,1.0,Complaint,0,1105.0
Urban,Business,Household,AC,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,12.0,4.0,Manufacturer,2.6,Claim,0,1924.0
Urban,Personal,Household,AC,0.0,1.0,1.0,0.0,0.0,0.0,12000.0,15.0,10.0,Internet,1.4,Complaint,0,1444.0
Urban,Business,Household,AC,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,12.0,4.0,Manufacturer,2.6,Claim,0,21341.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,0.0,1.0,1.0,25000.0,13.0,60.0,Dealer,1.3,Claim,0,5202.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,1.0,25000.0,12.0,3.0,Dealer,1.5,Complaint,0,6416.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,1.0,,10.0,574.0,Manufacturer,30.0,Claim,0,4067.0
Urban,Personal,Household,AC,0.0,1.0,0.0,0.0,0.0,0.0,2000.0,12.0,61.0,Dealer,24.0,Claim,0,63171.0
Urban,Personal,Household,AC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,332.0,Manufacturer,20.0,Complaint,1,3758.0
Rural,Personal,Household,AC,1.0,0.0,0.0,0.0,0.0,0.0,6449.0,11.0,826.0,Manufacturer,30.0,Claim,0,4316.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,1.0,10000.0,14.0,9.0,Dealer,2.5,Complaint,0,1452.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,10.0,18.0,Dealer,1.0,Complaint,0,5740.0
Rural,Business,Entertainment,TV,0.0,0.0,0.0,0.0,0.0,2.0,10000.0,12.0,14.0,Dealer,6.5,Other,0,8699.0
Rural,Personal,Entertainment,TV,0.0,0.0,0.0,1.0,2.0,1.0,3149.0,14.0,820.0,Dealer,28.0,Claim,0,2575.0
Rural,Business,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,1.0,10000.0,12.0,18.0,Dealer,1.4,Claim,0,7773.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,0.0,1.0,0.0,40000.0,10.0,14.0,Manufacturer,1.5,Claim,1,33100.0
Rural,Business,Household,AC,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,10.0,9.0,Dealer,1.3,Other,0,33471.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,1.0,0.0,0.0,2000.0,10.0,299.0,Dealer,9.0,Complaint,0,6140.0
Urban,Personal,Household,AC,0.0,2.0,0.0,0.0,0.0,0.0,4832.0,14.0,481.0,Internet,30.0,Complaint,0,1005.0
Urban,Personal,Household,AC,2.0,2.0,1.0,0.0,0.0,0.0,12000.0,15.0,167.0,Internet,15.0,Complaint,0,6089.0
Urban,Personal,Household,AC,2.0,0.0,0.0,0.0,0.0,0.0,5000.0,10.0,288.0,Dealer,18.0,Claim,0,7523.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,1.0,0.0,0.0,2000.0,10.0,299.0,Dealer,9.0,Complaint,0,1280.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,0.0,1.0,0.0,50000.0,10.0,14.0,Manufacturer,1.5,Claim,0,5781.0
Urban,Personal,Household,AC,1.0,0.0,0.0,0.0,0.0,0.0,2000.0,15.0,52.0,Dealer,6.0,Complaint,0,2190.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,1.0,0.0,0.0,2000.0,12.0,365.0,Internet,5.0,Complaint,0,2624.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,1.0,0.0,0.0,2000.0,10.0,299.0,Dealer,9.0,Complaint,0,9496.0
Urban,Business,Household,AC,1.0,0.0,0.0,0.0,0.0,0.0,2000.0,15.0,329.0,Dealer,14.0,Complaint,0,9353.0
Rural,Personal,Household,AC,0.0,1.0,1.0,0.0,0.0,0.0,20000.0,14.0,6.0,Manufacturer,1.0,Claim,0,2759.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,0.0,2.0,0.0,20000.0,14.0,21.0,Manufacturer,1.4,Claim,0,6023.0
Rural,Personal,Household,AC,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,13.0,4.0,Dealer,0.5,Complaint,0,5380.0
Rural,Personal,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,0.0,4216.0,10.0,672.0,Dealer,25.0,Other,0,1961.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,0.0,2.0,1.0,501.0,10.0,409.0,Internet,30.0,Claim,0,6088.0
Rural,Personal,Entertainment,TV,0.0,0.0,0.0,0.0,1.0,0.0,3905.0,13.0,683.0,Dealer,19.0,Claim,0,36431.0
Urban,Personal,Household,AC,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,13.0,14.0,Manufacturer,1.6,Claim,1,4150.0
Rural,Personal,Household,AC,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,13.0,4.0,Manufacturer,1.3,Complaint,0,6506.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,2.0,1.0,0.0,7000.0,12.0,32.0,Manufacturer,14.0,Claim,0,1545.0
Urban,Personal,Household,AC,2.0,0.0,0.0,0.0,0.0,0.0,5000.0,15.0,45.0,Internet,24.0,Claim,0,9402.0
Urban,Personal,Household,AC,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,15.0,15.0,Manufacturer,0.5,Claim,0,53971.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,2.0,0.0,0.0,5000.0,14.0,197.0,Internet,13.0,Complaint,0,5844.0
Rural,Personal,Entertainment,TV,0.0,0.0,0.0,1.0,2.0,1.0,1691.0,13.0,746.0,Dealer,30.0,Other,0,56201.0
Rural,Business,Household,AC,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,12.0,10.0,Dealer,1.0,Claim,0,30441.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,1.0,10000.0,14.0,9.0,Dealer,2.5,Complaint,0,56341.0
Urban,Business,Household,AC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,281.0,Internet,19.0,Complaint,0,7991.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,0.0,4000.0,10.0,81.0,Internet,21.0,Claim,0,3180.0
Urban,Personal,Household,AC,1.0,2.0,0.0,0.0,0.0,0.0,7000.0,15.0,68.0,Manufacturer,9.0,Complaint,0,4790.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,0.0,2.0,0.0,20000.0,14.0,21.0,Dealer,1.4,Claim,0,1399.0
Rural,Personal,Household,AC,0.0,1.0,0.0,0.0,0.0,0.0,5821.0,13.0,951.0,Manufacturer,30.0,Complaint,0,4375.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,0.0,0.0,2.0,50000.0,13.0,18.0,Manufacturer,0.5,Complaint,1,1954.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,0.0,1.0,1.0,25000.0,13.0,60.0,Dealer,1.3,Claim,0,8903.0
Rural,Business,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,1.0,21000.0,13.0,4.0,Internet,2.5,Complaint,0,94571.0
Rural,Business,Entertainment,TV,0.0,0.0,0.0,0.0,0.0,2.0,15000.0,12.0,15.0,Manufacturer,1.3,Complaint,0,4408.0
Rural,Business,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,1.0,10000.0,12.0,18.0,Dealer,1.4,Claim,0,5360.0
Rural,Business,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,1.0,20000.0,12.0,7.0,Manufacturer,6.5,Claim,0,5264.0
Rural,Business,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,1.0,50000.0,12.0,19.0,Manufacturer,1.3,Claim,0,5790.0
Urban,Personal,Household,AC,1.0,2.0,0.0,0.0,0.0,0.0,7000.0,15.0,68.0,Manufacturer,9.0,Complaint,0,7699.0
Urban,Business,Household,AC,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,10.0,16.0,Manufacturer,0.5,Complaint,0,3213.0
Rural,Personal,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,1.0,15000.0,15.0,12.0,Manufacturer,1.6,Complaint,0,5901.0
Rural,Business,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,1.0,50000.0,12.0,19.0,Manufacturer,1.3,Claim,0,7652.0
Rural,Personal,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,1.0,20000.0,14.0,10.0,Manufacturer,6.5,Complaint,0,8047.0
Rural,Business,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,1.0,21000.0,13.0,4.0,Internet,2.5,Complaint,0,4902.0
Rural,Personal,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,0.0,4674.0,13.0,333.0,Manufacturer,30.0,Claim,0,9605.0
Rural,Personal,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,0.0,4674.0,13.0,333.0,Manufacturer,30.0,Claim,0,5946.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,0.0,4805.0,12.0,948.0,Dealer,3.0,Claim,0,575.0
Urban,Business,Household,AC,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,12.0,6.0,Manufacturer,2.4,Claim,0,1575.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,0.0,2.0,0.0,10000.0,13.0,19.0,Dealer,1.0,Claim,0,4788.0
Urban,Business,Household,AC,0.0,2.0,1.0,0.0,0.0,0.0,2742.0,10.0,214.0,Manufacturer,30.0,Complaint,0,1018.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,12.0,5.0,Internet,1.0,Complaint,0,2601.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,1.0,2.0,0.0,15000.0,10.0,60.0,Manufacturer,0.5,Complaint,0,1420.0
Rural,Personal,Household,AC,1.0,1.0,2.0,0.0,0.0,0.0,970.0,14.0,6.0,Internet,30.0,Claim,0,1131.0
Rural,Business,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,1.0,20000.0,12.0,7.0,Manufacturer,6.5,Claim,1,68.0
Rural,Personal,Entertainment,TV,0.0,0.0,0.0,1.0,2.0,0.0,4891.0,14.0,337.0,Dealer,30.0,Complaint,0,2870.0
Rural,Business,Entertainment,TV,0.0,0.0,0.0,0.0,0.0,2.0,15000.0,12.0,15.0,Manufacturer,1.3,Complaint,0,6395.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,1.0,10000.0,14.0,9.0,Dealer,2.5,Claim,0,2143.0
Urban,Business,Entertainment,TV,0.0,0.0,0.0,0.0,1.0,0.0,170.0,11.0,371.0,Dealer,30.0,Other,0,7343.0
Urban,Personal,Household,AC,2.0,0.0,0.0,0.0,0.0,0.0,5000.0,10.0,147.0,Dealer,22.0,Complaint,0,5192.0
Urban,Personal,Entertainment,TV,0.0,0.0,0.0,1.0,1.0,1.0,4862.0,10.0,854.0,Dealer,30.0,Claim,0,140.0
